,idx,tokens,class,sentiment
214,30808,",",O,no
215,30808,которые,O,no
216,30808,готовят,O,no
217,30808,посетителям,O,no
218,30808,заведения,O,no
219,30808,столь,O,no
220,30808,вкусные,O,no
221,30808,блюда,B-Food,positive
222,30808,.,O,no
223,30808,Понравилось,O,no
224,30808,абсолютно,O,no
225,30808,все,O,no
226,30808,.,O,no
227,30808,Конечно,O,no
228,30808,же,O,no
229,30808,впечатляет,O,no
230,30808,интерьер,B-Interior,positive
231,30808,:,O,no
232,30808,уютно,O,no
233,30808,и,O,no
234,30808,красиво,O,no
235,30808,.,O,no
236,30808,Стол,B-Food,positive
237,30808,был,O,no
238,30808,шикарный,O,no
239,30808,.,O,no
240,30808,Нас,O,no
241,30808,обслуживал,B-Service,positive
242,30808,официант,B-Service,positive
243,30808,Бахрам,O,no
244,30808,",",O,no
245,30808,спасибо,O,no
246,30808,ему,O,no
247,30808,.,O,no
248,30808,Хочу,O,no
249,30808,отметить,O,no
250,30808,",",O,no
251,30808,что,O,no
252,30808,для,O,no
253,30808,ресторана,B-Whole,positive
254,30808,такого,O,no
255,30808,уровня,O,no
256,30808,цены,B-Price,positive
257,30808,не,O,no
258,30808,высокие,O,no
259,30808,.,O,no
260,14031,Хочу,O,no
261,14031,поделиться,O,no
262,14031,своим,O,no
263,14031,впечатлением,O,no
264,14031,от,O,no
265,14031,посещения,O,no
266,14031,ресторана,B-Whole,neutral
267,14031,``,I-Whole,neutral
268,14031,Крапива,I-Whole,neutral
269,14031,'',I-Whole,neutral
270,14031,.,O,no
271,14031,Отмечали,O,no
272,14031,серебряную,O,no
273,14031,свадьбу,O,no
274,14031,27.08.2010,O,no
275,14031,.,O,no
276,14031,Уже,O,no
277,14031,при,O,no
278,14031,первой,O,no
279,14031,встрече,O,no
280,14031,с,O,no
281,14031,рестораном,B-Whole,positive
282,14031,(,O,no
283,14031,при,O,no
284,14031,заказе,O,no
285,14031,),O,no
286,14031,все,O,no
287,14031,понравилось,O,no
288,14031,.,O,no
289,14031,Хороший,O,no
290,14031,интерьер,B-Interior,positive
291,14031,",",O,no
292,14031,приятный,O,no
293,14031,",",O,no
294,14031,воспитанный,O,no
295,14031,администратор,B-Service,positive
296,14031,Светлана,O,no
297,14031,.,O,no
298,14031,Очень,O,no
299,14031,помогала,O,no
300,14031,при,O,no
301,14031,выборе,O,no
302,14031,меню,B-Food,neutral
303,14031,.,O,no
304,14031,При,O,no
305,14031,обслуживании,B-Service,positive
306,14031,банкета,O,no
307,14031,официанты,B-Service,positive
308,14031,внимательно,O,no
309,14031,смотрели,B-Service,positive
310,14031,за,I-Service,positive
311,14031,столом,I-Service,positive
312,14031,.,O,no
313,14031,чтобы,O,no
314,14031,не,O,no
315,14031,было,O,no
316,14031,пустых,O,no
317,14031,тарелок,O,no
318,14031,",",O,no
319,14031,при,O,no
320,14031,этом,O,no
321,14031,очень,O,no
322,14031,не,O,no
323,14031,навязчиво,O,no
324,14031,.,O,no
325,14031,Гости,O,no
326,14031,тоже,O,no
327,14031,остались,O,no
328,14031,очень,O,no
329,14031,довольны,O,no
330,14031,.,O,no
331,14031,За,O,no
332,14031,барной,O,no
333,14031,стойкой,O,no
334,14031,помогал,O,no
335,14031,с,O,no
336,14031,музыкой,O,no
337,14031,молодой,B-Service,positive
338,14031,человек,I-Service,positive
339,14031,",",O,no
340,14031,к,O,no
341,14031,сожалению,O,no
342,14031,не,O,no
343,14031,знаю,O,no
344,14031,всех,O,no
345,14031,имен,O,no
346,14031,.,O,no
347,14031,Очень,O,no
348,14031,советую,O,no
349,14031,посетить,O,no
350,14031,ресторан,B-Whole,positive
351,14031,",",O,no
352,14031,атмосфера,B-Interior,positive
353,14031,домашняя,O,no
354,14031,.,O,no
355,14031,Всем,O,no
356,14031,огромное,O,no
357,14031,спасибо,O,no
358,14031,",",O,no
359,14031,еще,O,no
360,14031,не,O,no
361,14031,один,O,no
362,14031,раз,O,no
363,14031,посетим,O,no
364,14031,это,O,no
365,14031,приятное,O,no
366,14031,заведение,B-Whole,positive
367,14031,и,O,no
368,14031,будем,O,no
369,14031,рекомендовать,O,no
370,14031,своим,O,no
371,14031,друзьям,O,no
372,14031,.,O,no
373,14031,Посещение,O,no
374,14031,``,B-Whole,positive
375,14031,Крапивы,I-Whole,positive
376,14031,'',I-Whole,positive
377,14031,останется,O,no
378,14031,на,O,no
379,14031,всю,O,no
380,14031,жизнь,O,no
381,14031,!,O,no
382,14031,!,O,no
383,14031,!,O,no
384,2495,Добрый,O,no
385,2495,день,O,no
386,2495,!,O,no
387,2495,Были,O,no
388,2495,вчера,O,no
389,2495,с,O,no
390,2495,друзьями,O,no
391,2495,в,O,no
392,2495,этом,O,no
393,2495,кафе,B-Whole,neutral
394,2495,!,O,no
395,2495,Очень,O,no
396,2495,понравилось,O,no
397,2495,!,O,no
398,2495,Огромное,O,no
399,2495,спасибо,O,no
400,2495,поварам,B-Service,positive
401,2495,",",O,no
402,2495,очень,O,no
403,2495,вкусные,O,no
404,2495,блюда,B-Food,positive
405,2495,!,O,no
406,2495,!,O,no
407,2495,!,O,no
408,2495,!,O,no
409,2495,!,O,no
410,2495,Заказывали,O,no
411,2495,бивштексы,B-Food,positive
412,2495,",",O,no
413,2495,нет,O,no
414,2495,слов,O,no
415,2495,как,O,no
416,2495,вкусно,O,no
417,2495,),O,no
418,2495,),O,no
419,2495,),O,no
420,2495,Готовят,O,no
421,2495,очень,O,no
422,2495,быстро,O,no
423,2495,и,O,no
424,2495,главное,O,no
425,2495,качественно,O,no
426,2495,",",O,no
427,2495,сразу,O,no
428,2495,чувствуется,O,no
429,2495,",",O,no
430,2495,что,O,no
431,2495,там,O,no
432,2495,работают,O,no
433,2495,мастера,O,no
434,2495,своего,O,no
435,2495,дела,O,no
436,2495,!,O,no
437,2495,Спасибо,O,no
438,2495,огромное,O,no
439,2495,за,O,no
440,2495,хорошее,O,no
441,2495,обслуживание,B-Service,positive
442,2495,",",O,no
443,2495,приятную,O,no
444,2495,атмосферу,B-Interior,positive
445,2495,и,O,no
446,2495,гостеприимных,O,no
447,2495,официантов,B-Service,positive
448,2495,!,O,no
449,2495,Надеемся,O,no
450,2495,еще,O,no
451,2495,не,O,no
452,2495,раз,O,no
453,2495,посетить,O,no
454,2495,это,O,no
455,2495,замечательное,O,no
456,2495,",",O,no
457,2495,уютное,O,no
458,2495,место,B-Whole,positive
459,2495,с,O,no
460,2495,великолепной,O,no
461,2495,кухней,B-Food,positive
462,2495,и,O,no
463,2495,доброжелательным,O,no
464,2495,персоналом,B-Service,positive
465,2495,.,O,no
466,38835,Отметили,O,no
467,38835,с,O,no
468,38835,мужем,O,no
469,38835,годовщину,O,no
470,38835,свадьбы,O,no
471,38835,6,O,no
472,38835,ноября,O,no
473,38835,в,O,no
474,38835,этом,O,no
475,38835,заведении,B-Whole,neutral
476,38835,.,O,no
477,38835,в,O,no
478,38835,целом,O,no
479,38835,остались,O,no
480,38835,довольны,O,no
481,38835,",",O,no
482,38835,особенно,O,no
483,38835,сервисом,B-Service,positive
484,38835,.,O,no
485,38835,Встретила,B-Service,positive
486,38835,нас,O,no
487,38835,прямо,O,no
488,38835,у,O,no
489,38835,входа,O,no
490,38835,девушка,B-Service,positive
491,38835,",",O,no
492,38835,проводила,O,no
493,38835,до,O,no
494,38835,нашего,O,no
495,38835,столика,O,no
496,38835,",",O,no
497,38835,весь,O,no
498,38835,персонал,B-Service,positive
499,38835,нам,O,no
500,38835,улыбался,O,no
501,38835,и,O,no
502,38835,здоровался,O,no
503,38835,.,O,no
504,38835,для,O,no
505,38835,цветов,O,no
506,38835,наш,O,no
507,38835,официант,B-Service,positive
508,38835,Сергей,O,no
509,38835,сразу,O,no
510,38835,принес,O,no
511,38835,вазу,O,no
512,38835,.,O,no
513,38835,Что,O,no
514,38835,касается,O,no
515,38835,меня,O,no
516,38835,",",O,no
517,38835,не,O,no
518,38835,могу,O,no
519,38835,сказать,O,no
520,38835,что,O,no
521,38835,оно,O,no
522,38835,слишком,O,no
523,38835,разнообразное,O,no
524,38835,.,O,no
525,38835,Мы,O,no
526,38835,заказали,O,no
527,38835,утку,B-Food,neutral
528,38835,по-пекински,I-Food,neutral
529,38835,",",O,no
530,38835,2,O,no
531,38835,салата,B-Food,neutral
532,38835,",",O,no
533,38835,свинину,B-Food,neutral
534,38835,в,I-Food,neutral
535,38835,кисло-сладком,I-Food,neutral
536,38835,соусе,I-Food,neutral
537,38835,",",O,no
538,38835,еще,O,no
539,38835,какую,O,no
540,38835,то,O,no
541,38835,свинину,B-Food,neutral
542,38835,",",O,no
543,38835,кальян,B-Food,neutral
544,38835,",",O,no
545,38835,бутылку,O,no
546,38835,вина,B-Food,neutral
547,38835,и,O,no
548,38835,один,O,no
549,38835,десерт,B-Food,neutral
550,38835,и,O,no
551,38835,вышло,O,no
552,38835,нам,O,no
553,38835,все,O,no
554,38835,это,O,no
555,38835,на,O,no
556,38835,5500,O,no
557,38835,.,O,no
558,38835,Утка,B-Food,negative
559,38835,оказалась,O,no
560,38835,очень,O,no
561,38835,маленькой,O,no
562,38835,",",O,no
563,38835,хотя,O,no
564,38835,нам,O,no
565,38835,сказали,O,no
566,38835,",",O,no
567,38835,что,O,no
568,38835,4,O,no
569,38835,человека,O,no
570,38835,просто,O,no
571,38835,объедятся,B-Food,positive
572,38835,и,O,no
573,38835,упадут=,O,no
574,38835,),O,no
575,38835,Но,O,no
576,38835,впринципе,O,no
577,38835,мы,O,no
578,38835,наелись,O,no
579,38835,вдвоем,O,no
580,38835,и,O,no
581,38835,достатолчно,O,no
582,38835,вкусно,O,no
583,38835,.,O,no
584,38835,Свинина,B-Food,negative
585,38835,мне,O,no
586,38835,не,O,no
587,38835,понравилась,O,no
588,38835,.,O,no
589,38835,Раньше,O,no
590,38835,в,O,no
591,38835,других,O,no
592,38835,ресторанах,B-Whole,positive
593,38835,я,O,no
594,38835,ела,O,no
595,38835,намного,O,no
596,38835,вкуснее,O,no
597,38835,.,O,no
598,38835,На,O,no
599,38835,мой,O,no
600,38835,взгляд,O,no
601,38835,ресторан,B-Whole,negative
602,38835,не,O,no
603,38835,из,O,no
604,38835,дешевых,O,no
605,38835,",",O,no
606,38835,цены,B-Price,negative
607,38835,как,O,no
608,38835,в,O,no
609,38835,европейском,O,no
610,38835,меню,B-Food,negative
611,38835,и,O,no
612,38835,порции,B-Food,negative
613,38835,такие,O,no
614,38835,же,O,no
615,38835,",",O,no
616,38835,как,O,no
617,38835,европейские,O,no
618,38835,.,O,no
619,38835,Хоть,O,no
620,38835,осталось,O,no
621,38835,неплохое,O,no
622,38835,впечатление,B-Whole,both
623,38835,",",O,no
624,38835,но,O,no
625,38835,снова,O,no
626,38835,туда,O,no
627,38835,не,O,no
628,38835,пойдем,O,no
629,38835,",",O,no
630,38835,восторга,O,no
631,38835,не,O,no
632,38835,возникло,O,no
633,38835,",",O,no
634,38835,несмотря,O,no
635,38835,на,O,no
636,38835,отличное,O,no
637,38835,обслуживание,B-Service,positive
638,38835,.,O,no
639,38835,Ожидала,O,no
640,38835,более,O,no
641,38835,вкусной,O,no
642,38835,еды,B-Food,positive
643,38835,...,O,no
861,7890,Ребята,O,no
862,7890,",",O,no
863,7890,вы,O,no
864,7890,-,O,no
865,7890,лучшие,O,no
866,7890,!,O,no
867,7890,Недавно,O,no
868,7890,были,O,no
869,7890,небольшой,O,no
870,7890,дружной,O,no
871,7890,компанией,O,no
872,7890,",",O,no
873,7890,понравилось,O,no
874,7890,абсолютно,O,no
875,7890,все,O,no
876,7890,!,O,no
877,7890,Из,O,no
878,7890,меню,B-Food,neutral
879,7890,я,O,no
880,7890,пробовала,O,no
881,7890,салат,B-Food,positive
882,7890,с,I-Food,positive
883,7890,рыбой,I-Food,positive
884,7890,-,O,no
885,7890,ооочень,O,no
886,7890,вкусно,O,no
887,7890,",",O,no
888,7890,друзья,O,no
889,7890,брали,O,no
890,7890,и,O,no
891,7890,холодные,B-Food,positive
892,7890,закуски,I-Food,positive
893,7890,и,O,no
894,7890,горЯчее,B-Food,positive
895,7890,",",O,no
896,7890,все,O,no
897,7890,остались,O,no
898,7890,довольны,O,no
899,7890,",",O,no
900,7890,действительно,O,no
901,7890,достойная,O,no
902,7890,русская,O,no
903,7890,кухня,B-Food,positive
904,7890,!,O,no
905,7890,Прекрасный,O,no
906,7890,",",O,no
907,7890,уютный,O,no
908,7890,интерьер,B-Interior,positive
909,7890,",",O,no
910,7890,музыка,B-Interior,positive
911,7890,просто,O,no
912,7890,слух,O,no
913,7890,радовала,O,no
914,7890,...,O,no
915,7890,Персонал,B-Service,positive
916,7890,весь,O,no
917,7890,очень,O,no
918,7890,приветливый,O,no
919,7890,-,O,no
920,7890,и,O,no
921,7890,администратор,B-Service,positive
922,7890,и,O,no
923,7890,официанты,B-Service,positive
924,7890,",",O,no
925,7890,сервис,B-Service,positive
926,7890,на,O,no
927,7890,уровне,O,no
928,7890,",",O,no
929,7890,абсолютно,O,no
930,7890,ничего,O,no
931,7890,не,O,no
932,7890,напрягало,O,no
933,7890,и,O,no
934,7890,вечер,O,no
935,7890,прошел,O,no
936,7890,на,O,no
937,7890,``,O,no
938,7890,ура,O,no
939,7890,'',O,no
940,7890,!,O,no
941,7890,Хоть,O,no
942,7890,и,O,no
943,7890,живем,O,no
944,7890,от,O,no
945,7890,вас,O,no
946,7890,не,O,no
947,7890,близко,O,no
948,7890,",",O,no
949,7890,думаю,O,no
950,7890,",",O,no
951,7890,в,O,no
952,7890,гости,O,no
953,7890,заглянем,O,no
954,7890,снова,O,no
955,7890,!,O,no
1202,9662,Были,O,no
1203,9662,вчера,O,no
1204,9662,компанией,O,no
1205,9662,6,O,no
1206,9662,человек,O,no
1207,9662,в,O,no
1208,9662,``,O,no
1209,9662,Суп-вино,B-Whole,neutral
1210,9662,``,O,no
1211,9662,.,O,no
1212,9662,Столик,B-Service,neutral
1213,9662,бронировали,I-Service,neutral
1214,9662,заранее,O,no
1215,9662,",",O,no
1216,9662,что,O,no
1217,9662,",",O,no
1218,9662,думаю,O,no
1219,9662,",",O,no
1220,9662,всегда,O,no
1221,9662,стоит,O,no
1222,9662,делать,O,no
1223,9662,в,O,no
1224,9662,таким,O,no
1225,9662,небольших,O,no
1226,9662,ресторанах,B-Whole,neutral
1227,9662,.,O,no
1228,9662,Хочется,O,no
1229,9662,сказать,O,no
1230,9662,",",O,no
1231,9662,что,O,no
1232,9662,мы,O,no
1233,9662,остались,O,no
1234,9662,очень,O,no
1235,9662,довольны,O,no
1236,9662,.,O,no
1237,9662,Интерьер,B-Interior,positive
1238,9662,приятный,O,no
1239,9662,",",O,no
1240,9662,абсолютно,O,no
1241,9662,ненавязчивый,O,no
1242,9662,",",O,no
1243,9662,уютный,O,no
1244,9662,",",O,no
1245,9662,высокие,O,no
1246,9662,столики,B-Interior,positive
1247,9662,удобны,O,no
1248,9662,",",O,no
1249,9662,музыка,B-Interior,positive
1250,9662,тихая,O,no
1251,9662,",",O,no
1252,9662,не,O,no
1253,9662,мешает,O,no
1254,9662,общаться,O,no
1255,9662,.,O,no
1256,9662,Меню,B-Food,positive
1257,9662,интересное,O,no
1258,9662,",",O,no
1259,9662,всё,O,no
1260,9662,очень,O,no
1261,9662,вкусно,O,no
1262,9662,",",O,no
1263,9662,приемлемо,O,no
1264,9662,по,O,no
1265,9662,цене,B-Price,positive
1266,9662,",",O,no
1267,9662,готовится,O,no
1268,9662,очень,O,no
1269,9662,быстро,O,no
1270,9662,!,O,no
1271,9662,!,O,no
1272,9662,!,O,no
1273,9662,Много,O,no
1274,9662,комментариев,O,no
1275,9662,про,O,no
1276,9662,плохое,O,no
1277,9662,обслуживание,B-Service,negative
1278,9662,",",O,no
1279,9662,но,O,no
1280,9662,они,O,no
1281,9662,все,O,no
1282,9662,старые,O,no
1283,9662,",",O,no
1284,9662,а,O,no
1285,9662,вот,O,no
1286,9662,нас,O,no
1287,9662,обслуживал,B-Service,positive
1288,9662,очень,O,no
1289,9662,приятный,O,no
1290,9662,молодой,B-Service,positive
1291,9662,человек,I-Service,positive
1292,9662,",",O,no
1293,9662,вежливый,O,no
1294,9662,и,O,no
1295,9662,с,O,no
1296,9662,чувством,O,no
1297,9662,юмора,O,no
1298,9662,.,O,no
1299,9662,Блюда,B-Food,neutral
1300,9662,менялись,O,no
1301,9662,незаметно,O,no
1302,9662,",",O,no
1303,9662,напитки,B-Food,neutral
1304,9662,принесли,O,no
1305,9662,сразу,O,no
1306,9662,же,O,no
1307,9662,после,O,no
1308,9662,заказа,O,no
1309,9662,.,O,no
1310,9662,Мы,O,no
1311,9662,отлично,O,no
1312,9662,провели,O,no
1313,9662,время,O,no
1314,9662,",",O,no
1315,9662,с,O,no
1316,9662,удовольствием,O,no
1317,9662,придём,O,no
1318,9662,еще,O,no
1319,9662,!,O,no
1320,9662,!,O,no
1321,9662,!,O,no
1322,18430,В,O,no
1323,18430,прошлую,O,no
1324,18430,субботу,O,no
1325,18430,посетили,O,no
1326,18430,с,O,no
1327,18430,друзьями,O,no
1328,18430,это,O,no
1329,18430,заведение,B-Whole,neutral
1330,18430,.,O,no
1331,18430,Начилось,O,no
1332,18430,все,O,no
1333,18430,не,O,no
1334,18430,с,O,no
1335,18430,очень,O,no
1336,18430,приятных,O,no
1337,18430,моментов,O,no
1338,18430,",",O,no
1339,18430,т.к,O,no
1340,18430,когда,O,no
1341,18430,мы,O,no
1342,18430,пришли,O,no
1343,18430,туда,O,no
1344,18430,",",O,no
1345,18430,то,O,no
1346,18430,оказалось,O,no
1347,18430,что,O,no
1348,18430,нет,O,no
1349,18430,свободных,O,no
1350,18430,столиков,O,no
1351,18430,и,O,no
1352,18430,только,O,no
1353,18430,спустя,O,no
1354,18430,наверное,O,no
1355,18430,минут,O,no
1356,18430,20,O,no
1357,18430,официант,B-Service,positive
1358,18430,все,O,no
1359,18430,нашел,O,no
1360,18430,нам,O,no
1361,18430,подходящий,O,no
1362,18430,стол,O,no
1363,18430,.,O,no
1364,18430,В,O,no
1365,18430,целом,O,no
1366,18430,заведение,B-Whole,positive
1367,18430,понравилось,O,no
1368,18430,",",O,no
1369,18430,и,O,no
1370,18430,обстановка,B-Interior,positive
1371,18430,",",O,no
1372,18430,и,O,no
1373,18430,интерьер,B-Interior,positive
1374,18430,",",O,no
1375,18430,и,O,no
1376,18430,меню,B-Food,positive
1377,18430,.,O,no
1378,18430,Из,O,no
1379,18430,плюсов,O,no
1380,18430,:,O,no
1381,18430,достаточно,O,no
1382,18430,быстро,O,no
1383,18430,обслуживание,B-Service,positive
1384,18430,несмотря,O,no
1385,18430,на,O,no
1386,18430,огромное,O,no
1387,18430,количество,O,no
1388,18430,людей,O,no
1389,18430,",",O,no
1390,18430,хорошая,O,no
1391,18430,атмосфера,B-Interior,positive
1392,18430,(,O,no
1393,18430,играли,O,no
1394,18430,диджеи,O,no
1395,18430,),O,no
1396,18430,для,O,no
1397,18430,субботнего,O,no
1398,18430,вечера,O,no
1399,18430,",",O,no
1400,18430,большой,O,no
1401,18430,выбор,O,no
1402,18430,еды,B-Food,positive
1403,18430,и,O,no
1404,18430,алкогольных,B-Food,positive
1405,18430,напитков,I-Food,positive
1406,18430,(,O,no
1407,18430,хотя,O,no
1408,18430,мы,O,no
1409,18430,так,O,no
1410,18430,и,O,no
1411,18430,не,O,no
1412,18430,поели,O,no
1413,18430,",",O,no
1414,18430,но,O,no
1415,18430,алкоголя,B-Food,neutral
1416,18430,было,O,no
1417,18430,выпито,B-Food,neutral
1418,18430,много,O,no
1419,18430,),O,no
1420,18430,),O,no
1421,18430,),O,no
1422,18430,.,O,no
1423,18430,Минусы,O,no
1424,18430,:,O,no
1425,18430,показалось,O,no
1426,18430,",",O,no
1427,18430,что,O,no
1428,18430,слишком,O,no
1429,18430,громко,O,no
1430,18430,играла,O,no
1431,18430,музыка,B-Interior,negative
1432,18430,;,O,no
1433,18430,отсутствие,O,no
1434,18430,подсветки,O,no
1435,18430,над,O,no
1436,18430,столом,O,no
1437,18430,(,O,no
1438,18430,хотя,O,no
1439,18430,над,O,no
1440,18430,некоторыми,O,no
1441,18430,другими,O,no
1442,18430,свет,O,no
1443,18430,все,O,no
1444,18430,же,O,no
1445,18430,был,O,no
1446,18430,),O,no
1447,18430,",",O,no
1448,18430,из-за,O,no
1449,18430,чего,O,no
1450,18430,пришлось,O,no
1451,18430,подсвечивать,O,no
1452,18430,меню,O,no
1453,18430,телефоном,O,no
1454,18430,и,O,no
1455,18430,наверное,O,no
1456,18430,главный,O,no
1457,18430,минус,O,no
1458,18430,для,O,no
1459,18430,меня-это,O,no
1460,18430,то,O,no
1461,18430,",",O,no
1462,18430,что,O,no
1463,18430,в,O,no
1464,18430,таком,O,no
1465,18430,большом,O,no
1466,18430,заведении,B-Whole,negative
1467,18430,не,O,no
1468,18430,оказалось,O,no
1469,18430,место,O,no
1470,18430,для,O,no
1471,18430,гардероба,O,no
1472,18430,",",O,no
1473,18430,вследствие,O,no
1474,18430,чего,O,no
1475,18430,наши,O,no
1476,18430,куртки,O,no
1477,18430,постоянно,O,no
1478,18430,падали,O,no
1479,18430,на,O,no
1480,18430,пол,O,no
1481,18430,с,O,no
1482,18430,дивана,O,no
1483,18430,.,O,no
1484,18430,За,O,no
1485,18430,наш,O,no
1486,18430,стол,O,no
1487,18430,попросили,O,no
1488,18430,депозит,B-Price,positive
1489,18430,5,I-Price,positive
1490,18430,тыс,I-Price,positive
1491,18430,",",O,no
1492,18430,но,O,no
1493,18430,для,O,no
1494,18430,большой,O,no
1495,18430,компании,O,no
1496,18430,это,O,no
1497,18430,не,O,no
1498,18430,так,O,no
1499,18430,уж,O,no
1500,18430,много,O,no
1501,18430,",",O,no
1502,18430,мы,O,no
1503,18430,",",O,no
1504,18430,например,O,no
1505,18430,",",O,no
1506,18430,оставили,O,no
1507,18430,там,O,no
1508,18430,8,O,no
1509,18430,тыс,O,no
1510,18430,.,O,no
1511,18430,Но,O,no
1512,18430,несмотря,O,no
1513,18430,на,O,no
1514,18430,все,O,no
1515,18430,минусы,O,no
1516,18430,",",O,no
1517,18430,остались,O,no
